Geography,Gender,Age group,Reference period,Net-migration
,,,2021 / 2022,0
,,,2022 / 2023,-1
,,,2023 / 2024,4
,,10 to 14 years,2014 / 2015,-4
,,,2015 / 2016,-9
,,,2016 / 2017,16
,,,2017 / 2018,7
,,,2018 / 2019,16
,,,2019 / 2020,14
,,,2020 / 2021,12
,,,2021 / 2022,1
,,,2022 / 2023,6
,,,2023 / 2024,-2
,,15 to 19 years,2014 / 2015,16
,,,2015 / 2016,13
,,,2016 / 2017,7
,,,2017 / 2018,-6
,,,2018 / 2019,-3
,,,2019 / 2020,5
,,,2020 / 2021,13
,,,2021 / 2022,9
,,,2022 / 2023,-11
,,,2023 / 2024,-5
,,20 to 24 years,2014 / 2015,1
,,,2015 / 2016,21
,,,2016 / 2017,39
,,,2017 / 2018,22
,,,2018 / 2019,11
,,,2019 / 2020,43
,,,2020 / 2021,51
,,,2021 / 2022,66
,,,2022 / 2023,50
,,,2023 / 2024,42
,,25 to 29 years,2014 / 2015,-4
,,,2015 / 2016,13
,,,2016 / 2017,66
,,,2017 / 2018,20
,,,2018 / 2019,33
,,,2019 / 2020,40
,,,2020 / 2021,49
,,,2021 / 2022,87
,,,2022 / 2023,76
,,,2023 / 2024,56
,,30 to 34 years,2014 / 2015,6
,,,2015 / 2016,23
,,,2016 / 2017,42
,,,2017 / 2018,6
,,,2018 / 2019,22
,,,2019 / 2020,35
,,,2020 / 2021,35
,,,2021 / 2022,59
,,,2022 / 2023,33
,,,2023 / 2024,28
,,35 to 39 years,2014 / 2015,26
,,,2015 / 2016,36
,,,2016 / 2017,43
,,,2017 / 2018,36
,,,2018 / 2019,37
,,,2019 / 2020,49
,,,2020 / 2021,40
,,,2021 / 2022,17
,,,2022 / 2023,-25
,,,2023 / 2024,-13
,,40 to 44 years,2014 / 2015,19
,,,2015 / 2016,24
,,,2016 / 2017,21
,,,2017 / 2018,12
,,,2018 / 2019,12
,,,2019 / 2020,16
,,,2020 / 2021,16
,,,2021 / 2022,-11
,,,2022 / 2023,-4
,,,2023 / 2024,-9
,,45 to 49 years,2014 / 2015,2
,,,2015 / 2016,6
,,,2016 / 2017,8
,,,2017 / 2018,-2
,,,2018 / 2019,4
,,,2019 / 2020,0
,,,2020 / 2021,1
,,,2021 / 2022,-5
,,,2022 / 2023,9
,,,2023 / 2024,-5
,,50 to 54 years,2014 / 2015,-64
,,,2015 / 2016,-77
,,,2016 / 2017,-8
,,,2017 / 2018,-19
,,,2018 / 2019,-8
,,,2019 / 2020,-24
,,,2020 / 2021,-21
,,,2021 / 2022,-9
,,,2022 / 2023,6
,,,2023 / 2024,-15
,,55 to 59 years,2014 / 2015,8
,,,2015 / 2016,10
,,,2016 / 2017,7
,,,2017 / 2018,2
,,,2018 / 2019,10
,,,2019 / 2020,-2
,,,2020 / 2021,4
,,,2021 / 2022,-11
,,,2022 / 2023,-26
,,,2023 / 2024,-33
,,60 to 64 years,2014 / 2015,13
,,,2015 / 2016,14
,,,2016 / 2017,3
,,,2017 / 2018,-2
,,,2018 / 2019,2
,,,2019 / 2020,-6
,,,2020 / 2021,7
,,,2021 / 2022,-12
,,,2022 / 2023,-21
,,,2023 / 2024,-34
,,65 to 69 years,2014 / 2015,-16
,,,2015 / 2016,-7
,,,2016 / 2017,-11
,,,2017 / 2018,-13
,,,2018 / 2019,-13
,,,2019 / 2020,-8
,,,2020 / 2021,4
,,,2021 / 2022,-31
,,,2022 / 2023,-16
,,,2023 / 2024,-24
,,70 to 74 years,2014 / 2015,7
,,,2015 / 2016,8
,,,2016 / 2017,-3
,,,2017 / 2018,1
,,,2018 / 2019,0
,,,2019 / 2020,1
,,,2020 / 2021,0
,,,2021 / 2022,-15
,,,2022 / 2023,-5
,,,2023 / 2024,-19
,,75 to 79 years,2014 / 2015,0
,,,2015 / 2016,9
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,1
,,,2020 / 2021,3
,,,2021 / 2022,-2
,,,2022 / 2023,1
,,,2023 / 2024,-3
,,80 to 84 years,2014 / 2015,0
,,,2015 / 2016,3
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,1
,,,2020 / 2021,1
,,,2021 / 2022,1
,,,2022 / 2023,-2
,,,2023 / 2024,-3
,,85 to 89 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-1
,,,2022 / 2023,0
,,,2023 / 2024,-2
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,1
,,,2023 / 2024,-3
Northwest Territories,Men,0 years,2014 / 2015,-19
,,,2015 / 2016,-19
,,,2016 / 2017,3
,,,2017 / 2018,3
,,,2018 / 2019,4
,,,2019 / 2020,7
,,,2020 / 2021,7
,,,2021 / 2022,1
,,,2022 / 2023,-4
,,,2023 / 2024,0
,,1 year,2014 / 2015,-10
,,,2015 / 2016,-10
,,,2016 / 2017,0
,,,2017 / 2018,-4
,,,2018 / 2019,-1
,,,2019 / 2020,3
,,,2020 / 2021,1
,,,2021 / 2022,-9
,,,2022 / 2023,-5
,,,2023 / 2024,-8
,,2 years,2014 / 2015,5
,,,2015 / 2016,2
,,,2016 / 2017,-2
,,,2017 / 2018,-6
,,,2018 / 2019,-2
,,,2019 / 2020,-4
,,,2020 / 2021,-2
,,,2021 / 2022,-2
,,,2022 / 2023,-12
,,,2023 / 2024,-10
,,3 years,2014 / 2015,10
,,,2015 / 2016,8
,,,2016 / 2017,-3
,,,2017 / 2018,-8
,,,2018 / 2019,-7
,,,2019 / 2020,-5
,,,2020 / 2021,-4
,,,2021 / 2022,-13
,,,2022 / 2023,0
,,,2023 / 2024,-10
,,4 years,2014 / 2015,13
,,,2015 / 2016,13
,,,2016 / 2017,-4
,,,2017 / 2018,-8
,,,2018 / 2019,-8
,,,2019 / 2020,-6
,,,2020 / 2021,-4
,,,2021 / 2022,-6
,,,2022 / 2023,-14
,,,2023 / 2024,-7
,,5 to 9 years,2014 / 2015,46
,,,2015 / 2016,33
,,,2016 / 2017,-33
,,,2017 / 2018,-34
,,,2018 / 2019,-25
,,,2019 / 2020,-27
,,,2020 / 2021,-20
,,,2021 / 2022,-9
,,,2022 / 2023,-61
,,,2023 / 2024,-51
,,10 to 14 years,2014 / 2015,-47
,,,2015 / 2016,-59
,,,2016 / 2017,-12
,,,2017 / 2018,-3
,,,2018 / 2019,0
,,,2019 / 2020,-1
,,,2020 / 2021,0
,,,2021 / 2022,-27
,,,2022 / 2023,-14
,,,2023 / 2024,-27
,,15 to 19 years,2014 / 2015,-1
,,,2015 / 2016,2
,,,2016 / 2017,-11
,,,2017 / 2018,-10
,,,2018 / 2019,-13
,,,2019 / 2020,-9
,,,2020 / 2021,1
,,,2021 / 2022,-37
,,,2022 / 2023,-13
,,,2023 / 2024,-28
,,20 to 24 years,2014 / 2015,-17
,,,2015 / 2016,38
,,,2016 / 2017,36
,,,2017 / 2018,26
,,,2018 / 2019,19
,,,2019 / 2020,52
,,,2020 / 2021,51
,,,2021 / 2022,38
,,,2022 / 2023,50
,,,2023 / 2024,26
,,25 to 29 years,2014 / 2015,19
,,,2015 / 2016,34
,,,2016 / 2017,-3
,,,2017 / 2018,14
,,,2018 / 2019,-3
,,,2019 / 2020,13
,,,2020 / 2021,25
,,,2021 / 2022,1
,,,2022 / 2023,-5
,,,2023 / 2024,-17
,,30 to 34 years,2014 / 2015,-7
,,,2015 / 2016,-11
,,,2016 / 2017,-57
,,,2017 / 2018,-43
,,,2018 / 2019,-56
,,,2019 / 2020,-39
,,,2020 / 2021,-22
,,,2021 / 2022,15
,,,2022 / 2023,-1
,,,2023 / 2024,-12
,,35 to 39 years,2014 / 2015,15
,,,2015 / 2016,14
,,,2016 / 2017,-4
,,,2017 / 2018,0
,,,2018 / 2019,-5
,,,2019 / 2020,8
,,,2020 / 2021,12
,,,2021 / 2022,-28
,,,2022 / 2023,-26
,,,2023 / 2024,-43
,,40 to 44 years,2014 / 2015,-33
,,,2015 / 2016,-26
,,,2016 / 2017,-25
,,,2017 / 2018,-10
,,,2018 / 2019,-10
,,,2019 / 2020,1
,,,2020 / 2021,-13
,,,2021 / 2022,-9
,,,2022 / 2023,-60
,,,2023 / 2024,-41
,,45 to 49 years,2014 / 2015,-24
,,,2015 / 2016,-18
,,,2016 / 2017,-26
,,,2017 / 2018,-37
,,,2018 / 2019,-34
,,,2019 / 2020,-26
,,,2020 / 2021,-32
,,,2021 / 2022,-12
,,,2022 / 2023,-13
,,,2023 / 2024,-10
,,50 to 54 years,2014 / 2015,14
,,,2015 / 2016,26
,,,2016 / 2017,-2
,,,2017 / 2018,0
,,,2018 / 2019,-2
,,,2019 / 2020,8
,,,2020 / 2021,2
,,,2021 / 2022,-10
,,,2022 / 2023,-15
,,,2023 / 2024,-15
,,55 to 59 years,2014 / 2015,-5
,,,2015 / 2016,8
,,,2016 / 2017,-7
,,,2017 / 2018,-12
,,,2018 / 2019,-20
,,,2019 / 2020,-10
,,,2020 / 2021,-12
,,,2021 / 2022,-21
,,,2022 / 2023,-47
,,,2023 / 2024,-35
,,60 to 64 years,2014 / 2015,-46
,,,2015 / 2016,-37
,,,2016 / 2017,-23
,,,2017 / 2018,-30
,,,2018 / 2019,-32
,,,2019 / 2020,-25
,,,2020 / 2021,-24
,,,2021 / 2022,-37
,,,2022 / 2023,-26
,,,2023 / 2024,-39
,,65 to 69 years,2014 / 2015,-29
,,,2015 / 2016,-35
,,,2016 / 2017,-27
,,,2017 / 2018,-27
,,,2018 / 2019,-29
,,,2019 / 2020,-32
,,,2020 / 2021,-19
,,,2021 / 2022,-35
,,,2022 / 2023,-21
,,,2023 / 2024,-26
,,70 to 74 years,2014 / 2015,-3
,,,2015 / 2016,-1
,,,2016 / 2017,-3
,,,2017 / 2018,-2
,,,2018 / 2019,-3
,,,2019 / 2020,-1
,,,2020 / 2021,-2
,,,2021 / 2022,-19
,,,2022 / 2023,-4
,,,2023 / 2024,-12
,,75 to 79 years,2014 / 2015,0
,,,2015 / 2016,2
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-9
,,,2022 / 2023,-3
,,,2023 / 2024,-4
,,80 to 84 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-1
,,,2022 / 2023,1
,,,2023 / 2024,-3
,,85 to 89 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,0
,,,2023 / 2024,0
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,0
,,,2023 / 2024,0
,Women,0 years,2014 / 2015,-12
,,,2015 / 2016,-13
,,,2016 / 2017,-10
,,,2017 / 2018,-10
,,,2018 / 2019,-11
,,,2019 / 2020,-6
,,,2020 / 2021,-10
,,,2021 / 2022,-3
,,,2022 / 2023,-18
,,,2023 / 2024,-12
,,1 year,2014 / 2015,-4
,,,2015 / 2016,-7
,,,2016 / 2017,-6
,,,2017 / 2018,-10
,,,2018 / 2019,-8
,,,2019 / 2020,-3
,,,2020 / 2021,-9
,,,2021 / 2022,-5
,,,2022 / 2023,-7
,,,2023 / 2024,-7
,,2 years,2014 / 2015,-1
,,,2015 / 2016,-4
,,,2016 / 2017,-5
,,,2017 / 2018,-8
,,,2018 / 2019,-7
,,,2019 / 2020,-3
,,,2020 / 2021,-7
,,,2021 / 2022,-12
,,,2022 / 2023,1
,,,2023 / 2024,-11
,,3 years,2014 / 2015,2
,,,2015 / 2016,-2
,,,2016 / 2017,-2
,,,2017 / 2018,-6
,,,2018 / 2019,-6
,,,2019 / 2020,-3
,,,2020 / 2021,-4
,,,2021 / 2022,2
,,,2022 / 2023,-13
,,,2023 / 2024,-10
,,4 years,2014 / 2015,3
,,,2015 / 2016,3
,,,2016 / 2017,-2
,,,2017 / 2018,-5
,,,2018 / 2019,-2
,,,2019 / 2020,-3
,,,2020 / 2021,-4
,,,2021 / 2022,-11
,,,2022 / 2023,-6
,,,2023 / 2024,-11
,,5 to 9 years,2014 / 2015,19
,,,2015 / 2016,9
,,,2016 / 2017,-1
,,,2017 / 2018,0
,,,2018 / 2019,-7
,,,2019 / 2020,3
,,,2020 / 2021,-6
,,,2021 / 2022,-23
,,,2022 / 2023,-18
,,,2023 / 2024,-30
,,10 to 14 years,2014 / 2015,-32
,,,2015 / 2016,-43
,,,2016 / 2017,7
,,,2017 / 2018,-2
,,,2018 / 2019,-2
,,,2019 / 2020,4
,,,2020 / 2021,-8
,,,2021 / 2022,-7
,,,2022 / 2023,-20
,,,2023 / 2024,-27
,,15 to 19 years,2014 / 2015,12
,,,2015 / 2016,0
,,,2016 / 2017,13
,,,2017 / 2018,3
,,,2018 / 2019,5
,,,2019 / 2020,10
,,,2020 / 2021,9
,,,2021 / 2022,-8
,,,2022 / 2023,-15
,,,2023 / 2024,-20
,,20 to 24 years,2014 / 2015,-6
,,,2015 / 2016,-20
,,,2016 / 2017,18
,,,2017 / 2018,-13
,,,2018 / 2019,-16
,,,2019 / 2020,18
,,,2020 / 2021,35
,,,2021 / 2022,-1
,,,2022 / 2023,19
,,,2023 / 2024,0
,,25 to 29 years,2014 / 2015,31
,,,2015 / 2016,18
,,,2016 / 2017,8
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,24
,,,2020 / 2021,33
,,,2021 / 2022,42
,,,2022 / 2023,13
,,,2023 / 2024,1
,,30 to 34 years,2014 / 2015,-16
,,,2015 / 2016,-31
,,,2016 / 2017,-49
,,,2017 / 2018,-46
,,,2018 / 2019,-51
,,,2019 / 2020,-43
,,,2020 / 2021,-14
,,,2021 / 2022,-5
,,,2022 / 2023,-35
,,,2023 / 2024,-43
,,35 to 39 years,2014 / 2015,9
,,,2015 / 2016,5
,,,2016 / 2017,-26
,,,2017 / 2018,-26
,,,2018 / 2019,-18
,,,2019 / 2020,-20
,,,2020 / 2021,-12
,,,2021 / 2022,-21
,,,2022 / 2023,-25
,,,2023 / 2024,-43
,,40 to 44 years,2014 / 2015,-32
,,,2015 / 2016,-34
,,,2016 / 2017,-14
,,,2017 / 2018,-2
,,,2018 / 2019,6
,,,2019 / 2020,5
,,,2020 / 2021,0
,,,2021 / 2022,-35
,,,2022 / 2023,-17
,,,2023 / 2024,-31
,,45 to 49 years,2014 / 2015,-7
,,,2015 / 2016,-7
,,,2016 / 2017,-12
,,,2017 / 2018,-15
,,,2018 / 2019,-11
,,,2019 / 2020,-1
,,,2020 / 2021,-16
,,,2021 / 2022,-10
,,,2022 / 2023,-14
,,,2023 / 2024,-23
,,50 to 54 years,2014 / 2015,14
,,,2015 / 2016,13
,,,2016 / 2017,-7
,,,2017 / 2018,1
,,,2018 / 2019,-10
,,,2019 / 2020,9
,,,2020 / 2021,-18
,,,2021 / 2022,-21
,,,2022 / 2023,-27
,,,2023 / 2024,-33
,,55 to 59 years,2014 / 2015,-56
,,,2015 / 2016,-53
,,,2016 / 2017,-60
,,,2017 / 2018,-68
,,,2018 / 2019,-80
,,,2019 / 2020,-40
,,,2020 / 2021,-63
,,,2021 / 2022,-17
,,,2022 / 2023,-45
,,,2023 / 2024,-37
,,60 to 64 years,2014 / 2015,-4
,,,2015 / 2016,-3
,,,2016 / 2017,-2
,,,2017 / 2018,-3
,,,2018 / 2019,-1
,,,2019 / 2020,10
,,,2020 / 2021,-5
,,,2021 / 2022,-32
,,,2022 / 2023,-27
,,,2023 / 2024,-37
,,65 to 69 years,2014 / 2015,-19
,,,2015 / 2016,-34
,,,2016 / 2017,-11
,,,2017 / 2018,-12
,,,2018 / 2019,-12
,,,2019 / 2020,-23
,,,2020 / 2021,-11
,,,2021 / 2022,-30
,,,2022 / 2023,-23
,,,2023 / 2024,-25
,,70 to 74 years,2014 / 2015,4
,,,2015 / 2016,3
,,,2016 / 2017,0
,,,2017 / 2018,-1
,,,2018 / 2019,-2
,,,2019 / 2020,-2
,,,2020 / 2021,-1
,,,2021 / 2022,-2
,,,2022 / 2023,-5
,,,2023 / 2024,-5
,,75 to 79 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,-1
,,,2021 / 2022,-3
,,,2022 / 2023,-5
,,,2023 / 2024,1
,,80 to 84 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,-3
,,,2017 / 2018,-6
,,,2018 / 2019,-5
,,,2019 / 2020,-8
,,,2020 / 2021,-5
,,,2021 / 2022,-2
,,,2022 / 2023,-1
,,,2023 / 2024,-1
,,85 to 89 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,1
,,,2023 / 2024,1
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,1
,,,2023 / 2024,1
Nunavut,Men,0 years,2014 / 2015,7
,,,2015 / 2016,5
,,,2016 / 2017,-8
,,,2017 / 2018,-5
,,,2018 / 2019,-9
,,,2019 / 2020,-13
,,,2020 / 2021,-6
,,,2021 / 2022,-8
,,,2022 / 2023,-5
,,,2023 / 2024,-7
,,1 year,2014 / 2015,3
,,,2015 / 2016,4
,,,2016 / 2017,-6
,,,2017 / 2018,-2
,,,2018 / 2019,-5
,,,2019 / 2020,-10
,,,2020 / 2021,-5
,,,2021 / 2022,1
,,,2022 / 2023,4
,,,2023 / 2024,5
,,2 years,2014 / 2015,-1
,,,2015 / 2016,0
,,,2016 / 2017,-3
,,,2017 / 2018,-1
,,,2018 / 2019,-3
,,,2019 / 2020,-7
,,,2020 / 2021,-6
,,,2021 / 2022,-7
,,,2022 / 2023,-6
,,,2023 / 2024,-6
,,3 years,2014 / 2015,-5
,,,2015 / 2016,-4
,,,2016 / 2017,-3
,,,2017 / 2018,1
,,,2018 / 2019,-2
,,,2019 / 2020,-5
,,,2020 / 2021,-5
,,,2021 / 2022,-7
,,,2022 / 2023,-7
,,,2023 / 2024,-4
,,4 years,2014 / 2015,-7
,,,2015 / 2016,-7
,,,2016 / 2017,-2
,,,2017 / 2018,1
,,,2018 / 2019,-3
,,,2019 / 2020,-2
,,,2020 / 2021,-5
,,,2021 / 2022,-7
,,,2022 / 2023,-2
,,,2023 / 2024,-11
,,5 to 9 years,2014 / 2015,-51
,,,2015 / 2016,-54
,,,2016 / 2017,-12
,,,2017 / 2018,15
,,,2018 / 2019,-9
,,,2019 / 2020,-8
,,,2020 / 2021,-15
,,,2021 / 2022,4
,,,2022 / 2023,-19
,,,2023 / 2024,-8
,,10 to 14 years,2014 / 2015,-17
,,,2015 / 2016,-9
,,,2016 / 2017,-11
,,,2017 / 2018,-7
,,,2018 / 2019,-12
,,,2019 / 2020,-11
,,,2020 / 2021,-21
,,,2021 / 2022,-13
,,,2022 / 2023,-32
,,,2023 / 2024,-22
,,15 to 19 years,2014 / 2015,-2
,,,2015 / 2016,-1
,,,2016 / 2017,-9
,,,2017 / 2018,-7
,,,2018 / 2019,-8
,,,2019 / 2020,-2
,,,2020 / 2021,-3
,,,2021 / 2022,4
,,,2022 / 2023,-1
,,,2023 / 2024,8
,,20 to 24 years,2014 / 2015,5
,,,2015 / 2016,-3
,,,2016 / 2017,6
,,,2017 / 2018,-3
,,,2018 / 2019,9
,,,2019 / 2020,1
,,,2020 / 2021,14
,,,2021 / 2022,7
,,,2022 / 2023,-5
,,,2023 / 2024,3
,,25 to 29 years,2014 / 2015,9
,,,2015 / 2016,14
,,,2016 / 2017,10
,,,2017 / 2018,11
,,,2018 / 2019,7
,,,2019 / 2020,10
,,,2020 / 2021,2
,,,2021 / 2022,2
,,,2022 / 2023,-10
,,,2023 / 2024,3
,,30 to 34 years,2014 / 2015,14
,,,2015 / 2016,15
,,,2016 / 2017,-21
,,,2017 / 2018,-14
,,,2018 / 2019,-14
,,,2019 / 2020,-7
,,,2020 / 2021,-22
,,,2021 / 2022,-7
,,,2022 / 2023,-19
,,,2023 / 2024,-1
,,35 to 39 years,2014 / 2015,-9
,,,2015 / 2016,-17
,,,2016 / 2017,12
,,,2017 / 2018,16
,,,2018 / 2019,10
,,,2019 / 2020,14
,,,2020 / 2021,12
,,,2021 / 2022,-7
,,,2022 / 2023,-17
,,,2023 / 2024,-4
,,40 to 44 years,2014 / 2015,-3
,,,2015 / 2016,6
,,,2016 / 2017,-10
,,,2017 / 2018,-24
,,,2018 / 2019,-23
,,,2019 / 2020,-11
,,,2020 / 2021,-16
,,,2021 / 2022,5
,,,2022 / 2023,4
,,,2023 / 2024,16
,,45 to 49 years,2014 / 2015,-3
,,,2015 / 2016,-2
,,,2016 / 2017,36
,,,2017 / 2018,20
,,,2018 / 2019,13
,,,2019 / 2020,29
,,,2020 / 2021,27
,,,2021 / 2022,-5
,,,2022 / 2023,-8
,,,2023 / 2024,2
,,50 to 54 years,2014 / 2015,22
,,,2015 / 2016,23
,,,2016 / 2017,23
,,,2017 / 2018,11
,,,2018 / 2019,-2
,,,2019 / 2020,13
,,,2020 / 2021,21
,,,2021 / 2022,8
,,,2022 / 2023,0
,,,2023 / 2024,14
,,55 to 59 years,2014 / 2015,9
,,,2015 / 2016,13
,,,2016 / 2017,-29
,,,2017 / 2018,-39
,,,2018 / 2019,-43
,,,2019 / 2020,-24
,,,2020 / 2021,-19
,,,2021 / 2022,-2
,,,2022 / 2023,-12
,,,2023 / 2024,-6
,,60 to 64 years,2014 / 2015,-33
,,,2015 / 2016,-35
,,,2016 / 2017,-8
,,,2017 / 2018,-15
,,,2018 / 2019,-26
,,,2019 / 2020,-15
,,,2020 / 2021,-4
,,,2021 / 2022,-20
,,,2022 / 2023,-19
,,,2023 / 2024,-21
,,65 to 69 years,2014 / 2015,-10
,,,2015 / 2016,-13
,,,2016 / 2017,-14
,,,2017 / 2018,-18
,,,2018 / 2019,-9
,,,2019 / 2020,-13
,,,2020 / 2021,-6
,,,2021 / 2022,-19
,,,2022 / 2023,-18
,,,2023 / 2024,-28
,,70 to 74 years,2014 / 2015,0
,,,2015 / 2016,2
,,,2016 / 2017,-6
,,,2017 / 2018,-4
,,,2018 / 2019,-4
,,,2019 / 2020,-3
,,,2020 / 2021,0
,,,2021 / 2022,-3
,,,2022 / 2023,-8
,,,2023 / 2024,-8
,,75 to 79 years,2014 / 2015,-7
,,,2015 / 2016,-6
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-4
,,,2022 / 2023,-1
,,,2023 / 2024,-4
,,80 to 84 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-1
,,,2022 / 2023,0
,,,2023 / 2024,-1
,,85 to 89 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,0
,,,2023 / 2024,0
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,0
,,,2022 / 2023,0
,,,2023 / 2024,0
,Women,0 years,2014 / 2015,-11
,,,2015 / 2016,-15
,,,2016 / 2017,-11
,,,2017 / 2018,-11
,,,2018 / 2019,-7
,,,2019 / 2020,-8
,,,2020 / 2021,-9
,,,2021 / 2022,-3
,,,2022 / 2023,-7
,,,2023 / 2024,-8
,,1 year,2014 / 2015,-7
,,,2015 / 2016,-8
,,,2016 / 2017,-10
,,,2017 / 2018,-9
,,,2018 / 2019,-5
,,,2019 / 2020,-6
,,,2020 / 2021,-7
,,,2021 / 2022,-3
,,,2022 / 2023,-5
,,,2023 / 2024,-8
,,2 years,2014 / 2015,-4
,,,2015 / 2016,-5
,,,2016 / 2017,-8
,,,2017 / 2018,-8
,,,2018 / 2019,0
,,,2019 / 2020,-4
,,,2020 / 2021,-6
,,,2021 / 2022,-2
,,,2022 / 2023,-9
,,,2023 / 2024,-2
,,3 years,2014 / 2015,-2
,,,2015 / 2016,-4
,,,2016 / 2017,-6
,,,2017 / 2018,-5
,,,2018 / 2019,1
,,,2019 / 2020,-4
,,,2020 / 2021,-6
,,,2021 / 2022,-2
,,,2022 / 2023,-2
,,,2023 / 2024,-1
,,4 years,2014 / 2015,1
,,,2015 / 2016,-4
,,,2016 / 2017,-6
,,,2017 / 2018,-3
,,,2018 / 2019,1
,,,2019 / 2020,-2
,,,2020 / 2021,-5
,,,2021 / 2022,4
,,,2022 / 2023,-9
,,,2023 / 2024,-4
,,5 to 9 years,2014 / 2015,7
,,,2015 / 2016,-2
,,,2016 / 2017,-7
,,,2017 / 2018,-9
,,,2018 / 2019,-6
,,,2019 / 2020,2
,,,2020 / 2021,-9
,,,2021 / 2022,-7
,,,2022 / 2023,-18
,,,2023 / 2024,-16
,,10 to 14 years,2014 / 2015,-18
,,,2015 / 2016,-23
,,,2016 / 2017,3
,,,2017 / 2018,4
,,,2018 / 2019,-3
,,,2019 / 2020,4
,,,2020 / 2021,-4
,,,2021 / 2022,-4
,,,2022 / 2023,-10
,,,2023 / 2024,-6
,,15 to 19 years,2014 / 2015,-6
,,,2015 / 2016,-2
,,,2016 / 2017,-3
,,,2017 / 2018,-6
,,,2018 / 2019,2
,,,2019 / 2020,-2
,,,2020 / 2021,-3
,,,2021 / 2022,-1
,,,2022 / 2023,-11
,,,2023 / 2024,-9
,,20 to 24 years,2014 / 2015,-1
,,,2015 / 2016,2
,,,2016 / 2017,-20
,,,2017 / 2018,-2
,,,2018 / 2019,11
,,,2019 / 2020,1
,,,2020 / 2021,-7
,,,2021 / 2022,-1
,,,2022 / 2023,-7
,,,2023 / 2024,-8
,,25 to 29 years,2014 / 2015,25
,,,2015 / 2016,19
,,,2016 / 2017,15
,,,2017 / 2018,11
,,,2018 / 2019,22
,,,2019 / 2020,25
,,,2020 / 2021,10
,,,2021 / 2022,-25
,,,2022 / 2023,-7
,,,2023 / 2024,-13
,,30 to 34 years,2014 / 2015,-1
,,,2015 / 2016,-3
,,,2016 / 2017,-19
,,,2017 / 2018,-23
,,,2018 / 2019,-19
,,,2019 / 2020,-17
,,,2020 / 2021,-27
,,,2021 / 2022,-8
,,,2022 / 2023,-21
,,,2023 / 2024,-4
,,35 to 39 years,2014 / 2015,-61
,,,2015 / 2016,-61
,,,2016 / 2017,-6
,,,2017 / 2018,-4
,,,2018 / 2019,-7
,,,2019 / 2020,-6
,,,2020 / 2021,-7
,,,2021 / 2022,1
,,,2022 / 2023,-23
